month,department,aws_service,environment,resource_id,owner,monthly_cost,tag_status,usage_level,waste_category,recommendation,estimated_savings
2026-07,Billing Operations,RDS,dev,rds-billing-operations-dev-0,unknown,347,untagged,low,untagged,Add owner and cost-center tags,96
2026-06,Reporting Analytics,S3,prod,s3-reporting-analytics-prod-1,reports-team,475,tagged,high,none,No action needed,0
2026-06,Billing Operations,RDS,test,rds-billing-operations-test-2,billing-team,699,tagged,low,idle,Schedule shutdown after business hours,285
2026-07,Claims Processing,CloudWatch,dev,cloudwatch-claims-processing-dev-3,claims-team,239,tagged,low,overprovisioned,Review sizing and downsize resource,60
2026-06,Billing Operations,EC2,dev,ec2-billing-operations-dev-4,billing-team,765,tagged,high,idle,Schedule shutdown after business hours,185
2026-08,Claims Processing,QuickSight,prod,quicksight-claims-processing-prod-5,claims-team,173,tagged,high,idle,Schedule shutdown after business hours,31
2026-06,Claims Processing,Lambda,dev,lambda-claims-processing-dev-6,claims-team,61,tagged,high,overprovisioned,Review sizing and downsize resource,22
2026-08,Claims Processing,Lambda,test,lambda-claims-processing-test-7,claims-team,19,tagged,normal,none,No action needed,0
2026-08,Admin,Glue,prod,glue-admin-prod-8,admin-team,160,tagged,high,none,No action needed,0
2026-08,Admin,EC2,test,ec2-admin-test-9,admin-team,341,tagged,low,log_retention,Reduce log retention for non-production environment,92
2026-06,Admin,QuickSight,dev,quicksight-admin-dev-10,unknown,203,untagged,low,untagged,Add owner and cost-center tags,44
2026-06,Claims Processing,CloudWatch,test,cloudwatch-claims-processing-test-11,claims-team,175,tagged,high,overprovisioned,Review sizing and downsize resource,34
2026-06,Billing Operations,RDS,test,rds-billing-operations-test-12,billing-team,392,tagged,low,none,No action needed,0
2026-08,Claims Processing,Lambda,dev,lambda-claims-processing-dev-13,claims-team,15,tagged,low,idle,Schedule shutdown after business hours,6
2026-07,Admin,Glue,prod,glue-admin-prod-14,admin-team,386,tagged,normal,idle,Schedule shutdown after business hours,155
2026-06,Claims Processing,Glue,test,glue-claims-processing-test-15,unknown,150,untagged,normal,untagged,Add owner and cost-center tags,60
2026-06,Billing Operations,QuickSight,dev,quicksight-billing-operations-dev-16,billing-team,111,tagged,normal,overprovisioned,Review sizing and downsize resource,35
2026-08,Claims Processing,CloudWatch,prod,cloudwatch-claims-processing-prod-17,claims-team,105,tagged,high,idle,Schedule shutdown after business hours,24
2026-07,Reporting Analytics,Lambda,dev,lambda-reporting-analytics-dev-18,reports-team,94,tagged,low,none,No action needed,0
2026-07,Admin,RDS,test,rds-admin-test-19,unknown,328,untagged,normal,untagged,Add owner and cost-center tags,82
2026-08,Billing Operations,S3,test,s3-billing-operations-test-20,billing-team,262,tagged,low,overprovisioned,Review sizing and downsize resource,54
2026-08,Admin,S3,dev,s3-admin-dev-21,admin-team,355,tagged,high,log_retention,Reduce log retention for non-production environment,110
2026-06,Billing Operations,CloudWatch,dev,cloudwatch-billing-operations-dev-22,billing-team,49,tagged,low,storage_tier,Move older files to cheaper S3 storage class,20
2026-08,Reporting Analytics,EC2,test,ec2-reporting-analytics-test-23,reports-team,671,tagged,high,storage_tier,Move older files to cheaper S3 storage class,292
2026-07,Reporting Analytics,CloudWatch,dev,cloudwatch-reporting-analytics-dev-24,reports-team,30,tagged,low,storage_tier,Move older files to cheaper S3 storage class,11
